Latitude,Longitude,Anomaly
87.5,2.5,-0.52
87.5,7.5,-0.95
87.5,12.5,-1.55
87.5,17.5,-1.04
87.5,22.5,-0.99
87.5,27.5,-0.89
87.5,32.5,-0.73
87.5,37.5,-1.52
87.5,42.5,-0.82
87.5,47.5,-1.27
87.5,52.5,-1.12
87.5,57.5,-1.99
87.5,62.5,-1.59
87.5,67.5,-1.24
87.5,72.5,-0.97
87.5,77.5,-1.48
87.5,82.5,-1.54
87.5,87.5,-1.47
87.5,92.5,-1.37
87.5,97.5,-0.91
87.5,102.5,-1.3
87.5,107.5,-1.67
87.5,112.5,-2.24
87.5,117.5,-2.34
87.5,122.5,-2.1
87.5,127.5,-1.97
87.5,132.5,-1.92
87.5,137.5,-2.08
87.5,142.5,-1.26
87.5,147.5,-1.07
87.5,152.5,-1.06
87.5,157.5,-1.73
87.5,162.5,-1.11
87.5,167.5,-1.08
87.5,172.5,-0.57
87.5,177.5,-0.64
87.5,-177.5,-0.69
87.5,-172.5,-0.57
87.5,-167.5,-0.29
87.5,-162.5,-1.15
87.5,-157.5,-0.97
87.5,-152.5,-1.49
87.5,-147.5,-1.28
87.5,-142.5,-1.52
87.5,-137.5,-1.43
87.5,-132.5,-1.27
87.5,-127.5,-1.13
87.5,-122.5,-0.74
87.5,-117.5,-1.74
87.5,-112.5,-0.8
87.5,-107.5,-1.62
87.5,-102.5,-0.55
87.5,-97.5,-1.54
87.5,-92.5,-1.32
87.5,-87.5,-1.36
87.5,-82.5,-1.18
87.5,-77.5,-0.5
87.5,-72.5,-0.66
87.5,-67.5,-1.16
87.5,-62.5,-0.58
87.5,-57.5,-0.18
87.5,-52.5,-0.37
87.5,-47.5,-0.52
87.5,-42.5,-0.5
87.5,-37.5,-0.46
87.5,-32.5,-0.77
87.5,-27.5,-0.33
87.5,-22.5,-0.95
87.5,-17.5,-0.45
87.5,-12.5,-0.55
87.5,-7.5,-0.77
87.5,-2.5,-1.48
82.5,2.5,1.02
82.5,7.5,1.41
82.5,12.5,1.64
82.5,17.5,1.07
82.5,22.5,1.14
82.5,27.5,1.17
82.5,32.5,1.54
82.5,37.5,0.94
82.5,42.5,1.15
82.5,47.5,0.82
82.5,52.5,0.78
82.5,57.5,-0.59
82.5,62.5,0.03
82.5,67.5,-0.57
82.5,72.5,-0.27
82.5,77.5,-0.61
82.5,82.5,-0.49
82.5,87.5,-0.21
82.5,92.5,-0.05
82.5,97.5,-0.28
82.5,102.5,-0.04
82.5,107.5,0.36
82.5,112.5,-0.33
82.5,117.5,-0.14
82.5,122.5,0.07
82.5,127.5,0.36
82.5,132.5,0.52
82.5,137.5,0.02
82.5,142.5,0.39
82.5,147.5,-0.03
82.5,152.5,0.41
82.5,157.5,0.88
82.5,162.5,0.52
82.5,167.5,0.11
82.5,172.5,0.37
82.5,177.5,-0.05
82.5,-177.5,-0.08
82.5,-172.5,0.13
82.5,-167.5,0.08
82.5,-162.5,0.21
82.5,-157.5,0.22
82.5,-152.5,-0.11
82.5,-147.5,0.39
82.5,-142.5,-0.14
82.5,-137.5,-0.14
82.5,-132.5,0.4
82.5,-127.5,0.68
82.5,-122.5,1.05
82.5,-117.5,0.91
82.5,-112.5,0.91
82.5,-107.5,0.58
82.5,-102.5,0.49
82.5,-97.5,0.61
82.5,-92.5,-0.14
82.5,-87.5,-0.19
82.5,-82.5,-0.3
82.5,-77.5,-1
82.5,-72.5,-0.83
82.5,-67.5,-1.39
82.5,-62.5,-0.28
82.5,-57.5,-1.44
82.5,-52.5,-1.11
82.5,-47.5,-0.88
82.5,-42.5,-1.24
82.5,-37.5,-0.45
82.5,-32.5,-1.1
82.5,-27.5,-1.08
82.5,-22.5,-1.49
82.5,-17.5,-0.6
82.5,-12.5,-0.3
82.5,-7.5,0.36
82.5,-2.5,0.79
77.5,2.5,3.13
77.5,7.5,2.5
77.5,12.5,2.07
77.5,17.5,3.05
77.5,22.5,2.09
77.5,27.5,2.29
77.5,32.5,2.44
77.5,37.5,2.63
77.5,42.5,2.79
77.5,47.5,2
77.5,52.5,2.14
77.5,57.5,1.9
77.5,62.5,0.95
77.5,67.5,-0.21
77.5,72.5,-1.47
77.5,77.5,-2.09
77.5,82.5,-1.91
77.5,87.5,-1.36
77.5,92.5,-1.18
77.5,97.5,-0.73
77.5,102.5,-0.01
77.5,107.5,-0.28
77.5,112.5,0.09
77.5,117.5,0.11
77.5,122.5,0.71
77.5,127.5,0.63
77.5,132.5,0.89
77.5,137.5,1.34
77.5,142.5,0.87
77.5,147.5,1.09
77.5,152.5,0.88
77.5,157.5,0.57
77.5,162.5,0.51
77.5,167.5,-0.12
77.5,172.5,-0.86
77.5,177.5,-1.26
77.5,-177.5,-0.98
77.5,-172.5,-0.78
77.5,-167.5,-0.94
77.5,-162.5,-0.75
77.5,-157.5,-1.3
77.5,-152.5,-1.17
77.5,-147.5,-1.93
77.5,-142.5,-2.27
77.5,-137.5,-1.67
77.5,-132.5,-0.94
77.5,-127.5,-0.4
77.5,-122.5,0.25
77.5,-117.5,0.1
77.5,-112.5,0.4
77.5,-107.5,-0.12
77.5,-102.5,0.88
77.5,-97.5,1.46
77.5,-92.5,2.22
77.5,-87.5,1.75
77.5,-82.5,1.41
77.5,-77.5,0.52
77.5,-72.5,1.49
77.5,-67.5,0.22
77.5,-62.5,0.72
77.5,-57.5,0.43
77.5,-52.5,-0.22
77.5,-47.5,0.18
77.5,-42.5,0.04
77.5,-37.5,0.05
77.5,-32.5,-0.09
