Latitude,Longitude,Anomaly
87.5,2.5,4.23
87.5,7.5,4.7
87.5,12.5,4.12
87.5,17.5,4.14
87.5,22.5,4.05
87.5,27.5,3.81
87.5,32.5,4.53
87.5,37.5,3.48
87.5,42.5,3.9
87.5,47.5,3.84
87.5,52.5,4.16
87.5,57.5,4.07
87.5,62.5,3.04
87.5,67.5,3.89
87.5,72.5,3.79
87.5,77.5,3.41
87.5,82.5,4.25
87.5,87.5,3.56
87.5,92.5,3.51
87.5,97.5,3.84
87.5,102.5,2.91
87.5,107.5,3.84
87.5,112.5,3.22
87.5,117.5,2.97
87.5,122.5,3.35
87.5,127.5,3.61
87.5,132.5,2.92
87.5,137.5,2.51
87.5,142.5,2.77
87.5,147.5,2.48
87.5,152.5,2.19
87.5,157.5,2.25
87.5,162.5,2.63
87.5,167.5,3.09
87.5,172.5,2.67
87.5,177.5,3.03
87.5,-177.5,3.52
87.5,-172.5,3.21
87.5,-167.5,3.55
87.5,-162.5,2.89
87.5,-157.5,3.09
87.5,-152.5,4.08
87.5,-147.5,2.83
87.5,-142.5,3.5
87.5,-137.5,2.93
87.5,-132.5,3.72
87.5,-127.5,4.17
87.5,-122.5,3.81
87.5,-117.5,3.32
87.5,-112.5,3.44
87.5,-107.5,3.74
87.5,-102.5,3.17
87.5,-97.5,3.45
87.5,-92.5,3.23
87.5,-87.5,3.33
87.5,-82.5,3.54
87.5,-77.5,4.15
87.5,-72.5,3.83
87.5,-67.5,3.81
87.5,-62.5,4.08
87.5,-57.5,4.14
87.5,-52.5,4.35
87.5,-47.5,5.07
87.5,-42.5,4.81
87.5,-37.5,4.48
87.5,-32.5,4.92
87.5,-27.5,5.11
87.5,-22.5,4.77
87.5,-17.5,5.42
87.5,-12.5,4.29
87.5,-7.5,4.39
87.5,-2.5,4.58
82.5,2.5,2.62
82.5,7.5,2.11
82.5,12.5,2.15
82.5,17.5,2.45
82.5,22.5,2.71
82.5,27.5,3.33
82.5,32.5,3.79
82.5,37.5,4.62
82.5,42.5,4.83
82.5,47.5,5.3
82.5,52.5,5.26
82.5,57.5,6.33
82.5,62.5,5.52
82.5,67.5,5.32
82.5,72.5,5.22
82.5,77.5,4.37
82.5,82.5,4.31
82.5,87.5,3.87
82.5,92.5,4.1
82.5,97.5,3.81
82.5,102.5,3.05
82.5,107.5,3.3
82.5,112.5,3.05
82.5,117.5,2.29
82.5,122.5,1.39
82.5,127.5,0.99
82.5,132.5,0.11
82.5,137.5,0.01
82.5,142.5,-0.5
82.5,147.5,-0.87
82.5,152.5,-0.1
82.5,157.5,0.35
82.5,162.5,0.34
82.5,167.5,1.21
82.5,172.5,1.61
82.5,177.5,1.99
82.5,-177.5,1.81
82.5,-172.5,2.36
82.5,-167.5,2.63
82.5,-162.5,2.98
82.5,-157.5,2.66
82.5,-152.5,2.89
82.5,-147.5,3.1
82.5,-142.5,3.44
82.5,-137.5,3.45
82.5,-132.5,3.56
82.5,-127.5,3.33
82.5,-122.5,2.21
82.5,-117.5,2.23
82.5,-112.5,2.48
82.5,-107.5,1.99
82.5,-102.5,2.5
82.5,-97.5,3.4
82.5,-92.5,3.51
82.5,-87.5,3.63
82.5,-82.5,4.22
82.5,-77.5,3.94
82.5,-72.5,4.51
82.5,-67.5,4.16
82.5,-62.5,3.72
82.5,-57.5,4.29
82.5,-52.5,4.5
82.5,-47.5,4.48
82.5,-42.5,4.27
82.5,-37.5,5.04
82.5,-32.5,4.43
82.5,-27.5,4.23
82.5,-22.5,4.21
82.5,-17.5,3.2
82.5,-12.5,3.49
82.5,-7.5,2.58
82.5,-2.5,2.53
77.5,2.5,-0.75
77.5,7.5,-0.75
77.5,12.5,0.13
77.5,17.5,-0.64
77.5,22.5,-0.39
77.5,27.5,-0.81
77.5,32.5,0.22
77.5,37.5,2
77.5,42.5,3.27
77.5,47.5,3.57
77.5,52.5,5.02
77.5,57.5,5.67
77.5,62.5,5.83
77.5,67.5,6.03
77.5,72.5,5.85
77.5,77.5,5.68
77.5,82.5,4.02
77.5,87.5,2.78
77.5,92.5,2.55
77.5,97.5,1.03
77.5,102.5,0.47
77.5,107.5,0.79
77.5,112.5,-0.31
77.5,117.5,-1.09
77.5,122.5,-1.2
77.5,127.5,-2.12
77.5,132.5,-2.25
77.5,137.5,-1.39
77.5,142.5,-2.01
77.5,147.5,-1.64
77.5,152.5,-1.92
77.5,157.5,-2.14
77.5,162.5,-2.45
77.5,167.5,-1.57
77.5,172.5,-1.46
77.5,177.5,-1.04
77.5,-177.5,-0.07
77.5,-172.5,1.18
77.5,-167.5,2
77.5,-162.5,3.03
77.5,-157.5,3.89
77.5,-152.5,4.54
77.5,-147.5,4.75
77.5,-142.5,5.37
77.5,-137.5,4.55
77.5,-132.5,4.36
77.5,-127.5,3.57
77.5,-122.5,3.16
77.5,-117.5,3.08
77.5,-112.5,3.21
77.5,-107.5,3.39
77.5,-102.5,3.23
77.5,-97.5,3.45
77.5,-92.5,4.4
77.5,-87.5,4.56
77.5,-82.5,5.23
77.5,-77.5,4.91
77.5,-72.5,4.22
77.5,-67.5,4.55
77.5,-62.5,4.19
77.5,-57.5,3.67
77.5,-52.5,3.69
77.5,-47.5,3.51
77.5,-42.5,3.17
77.5,-37.5,3.36
77.5,-32.5,3.36
77.5,-27.5,3.17
77.5,-22.5,2.44
77.5,-17.5,1.45
77.5,-12.5,0.79
77.5,-7.5,-0.4
77.5,-2.5,-0.88
72.5,2.5,-0.57
72.5,7.5,-0.91
72.5,12.5,-0.27
72.5,17.5,0.26
72.5,22.5,-0.75
72.5,27.5,-0.51
72.5,32.5,-0.05
72.5,37.5,0.5
72.5,42.5,0.96
72.5,47.5,1.99
72.5,52.5,2.7
72.5,57.5,4.5
72.5,62.5,5.62
72.5,67.5,5.41
72.5,72.5,4.13
72.5,77.5,3.46
72.5,82.5,1.77
72.5,87.5,0.14
72.5,92.5,-1.49
72.5,97.5,-1.36
72.5,102.5,-1.76
72.5,107.5,-2.31
72.5,112.5,-4.11
72.5,117.5,-2.33
72.5,122.5,-2.35
72.5,127.5,-3.34
72.5,132.5,-4.63
72.5,137.5,-3.98
72.5,142.5,-3.1
72.5,147.5,-2.83
72.5,152.5,-2.85
72.5,157.5,-0.92
72.5,162.5,-0.9
72.5,167.5,-1.91
72.5,172.5,-1.48
72.5,177.5,-0.74
72.5,-177.5,0.09
72.5,-172.5,1.07
72.5,-167.5,1.94
72.5,-162.5,3.02
72.5,-157.5,3.27
72.5,-152.5,7.26
72.5,-147.5,5.92
72.5,-142.5,6.35
72.5,-137.5,6.4
72.5,-132.5,6.48
72.5,-127.5,5.97
72.5,-122.5,6.29
